line,title,author,cited_num,relate,reverse_relate
The effect of water depth on seedling emergence and early growth of Vallisneria natans in a eutrophic lake with reduced transparency.,The effect of water depth on seedling emergence and early growth of Vallisneria natans in a eutrophic lake with reduced transparency,,3,95.24%,95.24%
"Phylogenetic relationships of salangid fishes (Osmeridae, Salanginae) with comments on phylogenetic placement of the salangids based on mitochondrial DNA sequences.","Phylogenetic relationships of salangid fishes (Osmeridae, Salanginae) with comments on phylogenetic placement of the salangids based on mitochondrial DNA …",JA Lopez,26,90.00%,94.74%
Statistical analysis on adaptive evolution of SQUA genes in angiosperms.,Statistical analysis on adaptive evolution of SQUA genes in angiosperms,,1,90.00%,90.00%
Multilingual collection retrieving via ontology alignment.,Multilingual Collection Retrieving Via Ontology Alignment.,L Zhang G Wu,7,16.67%,16.67%
"Local competitive effects of introduced Spartina alterniflora on Scirpus mariqueter at Dongtan of Chongming Island, the Yangtze river estuary and their potential ecological consequences.","Local competitive effects of introduced Spartina alterniflora on Scirpus mariqueter at Dongtan of Chongming Island, the Yangtze River estuary and their potential …",,159,83.33%,90.91%
On the Relation Between PDA and MMSE-ISDIC,On the relation between PDA and MMSE-ISDIC,,22,71.43%,71.43%
A novel distributed algorithm for media access control address assignment in wireless sensor networks,A novel distributed algorithm for media access control address assignment in wireless sensor networks,M Sheng,0,100.00%,100.00%
Broadcast scheduling with MIMO links in multi-hop ad hoc networks,Broadcast scheduling with MIMO links in multi-hop ad hoc networks,G Zhang,3,100.00%,100.00%
Further Results on the Maximum-Likelihood IFO Estimation for OFDM Systems,Further Results on the Maximum-Likelihood IFO Estimation for OFDM Systems,Z Lu,2,100.00%,100.00%
A distributed synchronous reservation multiple access control protocol for mobile Ad hoc networks,A distributed synchronous reservation multiple access control protocol for mobile Ad hoc networks,,5,100.00%,100.00%
Design of the Periodic Training Sequence for Joint Channel and Frequency Estimation in MIMO Frequency-Selective Channels,Design of the periodic training sequence for joint channel and frequency estimation in MIMO frequency-selective channels,Z Lu,8,43.75%,43.75%
Serially concatenated continuous phase modulation with reduced iterative demodulation and detection,Serially concatenated continuous phase modulation with reduced iterative demodulation and detection,,4,100.00%,100.00%
A reduced state SISO iterative decoding algorithm for serially concatenated continuous phase modulation.,A reduced state SISO iterative decoding algorithm for serially concatenated continuous phase modulation,,2,92.31%,92.31%
Supporting service differentiation with enhancements of the IEEE 802.11 MAC protocol: Models and analysis.,Supporting service differentiation with enhancements of the IEEE 802.11 MAC protocol: models and analysis,R Battiti,54,85.71%,85.71%
A Hierarchical Digital Modulation Classification Algorithm for Adaptive Wireless Communication Systems,A hierarchical digital modulation classification algorithm for adaptive wireless communication systems,,5,18.18%,18.18%
Topology-transparent reservation time division multiple access protocol with MIMO links in multihop ad hoc networks,Topology-transparent reservation time division multiple access protocol with MIMO links in multihop ad hoc networks,G Zhang M Sheng,10,100.00%,100.00%
A novel self-adaptive transmission scheme over an IEEE 802.11 WLAN for supporting multi-service.,A novel self‐adaptive transmission scheme over an IEEE 802.11 WLAN for supporting multi‐service,,11,84.62%,84.62%
Topology-transparent schedule with reservation and carrier sense for multihop ad hoc networks,Topology-transparent schedule with reservation and carrier sense for multihop ad hoc networks,G Zhang,16,100.00%,100.00%
Virtual Grid Spatial Reusing Algorithm for MAC Address Assignment in Wireless Sensor Network,[CITATION][C] Virtual grid spatial reusing algorithm for MAC address assignment in wireless sensor network,M Sheng,8,30.77%,28.57%
Internet end-to-end delay dynamics 1 1 This project was supported by the National Natural Science Foundation of China,Internet end-to-end delay dynamics11This project was supported by the National Natural Science Foundation of China (60132030; 60572147).,C Zhu,2,77.78%,82.35%
MC-CDMA for optical wireless communications,[CITATION][C] MC-CDMA for optical wireless communications,,0,100.00%,83.33%
A novel integer frequency offset estimator for OFDM,A novel integer frequency offset estimator for OFDM,,1,100.00%,100.00%
Relative degree adaptive flooding broadcast algorithm for ad hoc networks,Relative degree adaptive flooding broadcast algorithm for ad hoc networks,M Sheng,52,100.00%,100.00%
Hybrid splitting algorithm for wireless MAC,Hybrid splitting algorithm for wireless MAC,M Sheng,8,100.00%,100.00%
A Novel Wavelet Packet Division Multiplexing Based on Maximum Likelihood Algorithm and Optimum Pilot Symbol Assisted Modulation for Rayleigh Fading Channels,A novel wavelet packet division multiplexing based on maximum likelihood algorithm and optimum pilot symbol assisted modulation for Rayleigh fading channels,,14,23.81%,23.81%
High reliable multiuser detector based on strong tracking filter,Recent advances in high-speed underwater acoustic communications,M Stojanovic,788,0.00%,0.00%
Maximum likelihood method for integer frequency offset estimation of OFDM systems,Maximum likelihood method for integer frequency offset estimation of OFDM systems,,35,100.00%,100.00%
Robust modulation classifier based on cumulants for MDPSK with frequency offset,Robust modulation classifier based on cumulants for MDPSK with frequency offset,,0,100.00%,100.00%
MAC protocol for mobile ad hoc network with smart antennas,MAC protocol for mobile ad hoc network with smart antennas,M Sheng,41,100.00%,100.00%
Routing protocol with QoS guarantees for ad-hoc network,Routing protocol with QoS guarantees for ad-hoc network,M Sheng,45,100.00%,100.00%
A universal receiver structure for MDPSK signals,A universal receiver structure for MDPSK signals,,0,100.00%,100.00%
Timing estimator for MC-CDMA system,Timing estimator for MC-CDMA system,,6,100.00%,100.00%
A user-dependent Perfect-scheduling Multiple Access protocol for voice-data integration in wireless networks,A USER-DEPENDENT PERFECT-SCHEDULING MULTIPLE ACCESS PROTOCOL FOR VOICE-DATA INTEGRATION IN WIRELESS NETWORKS,,0,8.33%,8.33%
Detecting horizontal gene transfer with T-REX and RHOM programs.,Detecting horizontal gene transfer with T-REX and RHOM programs,L Wang,4,88.89%,88.89%
"Phylogenetic position of Ephedra rhytidosperma, a species endemic to China: evidence from chloroplast and ribosomal DNA sequences.","Phylogenetic position of Ephedra rhytidosperma, a species endemic to China: evidence from chloroplast and ribosomal DNA sequences",,12,94.12%,94.12%
Chemotypical variability of leaf oils in Elephantopus scaber from 12 locations in China.,Chemotypical variability of leaf oils in Elephantopus scaber from 12 locations in China,L Wang J Liu,10,92.31%,92.31%
Detecting correlation between sequence and expression divergences in a comparative analysis of human serpin genes.,Detecting correlation between sequence and expression divergences in a comparative analysis of human serpin genes,,6,93.33%,93.33%
"Chemical composition of the essential oil of Rhodiola quadrifida from Xinjiang, China.","Chemical composition of the essential oil of Rhodiola quadrifida from Xinjiang, China",,7,91.67%,91.67%
"A molecular docking model of SARS-CoV S1 protein in complex with its receptor, human ACE2.","A molecular docking model of SARS-CoV S1 protein in complex with its receptor, human ACE2",,6,93.33%,93.33%
Expression and characterization of the carboxyl esterase Rv3487c from Mycobacterium tuberculosis.,Expression and characterization of the carboxyl esterase Rv3487c from Mycobacterium tuberculosis,M Zhang,54,90.91%,90.91%
MPSS: an integrated database system for surveying a set of proteins.,MPSS: an integrated database system for surveying a set of proteins,,11,90.91%,90.91%
The effect of water depth on seedling emergence and early growth of Vallisneria natans in a eutrophic lake with reduced transparency.,The effect of water depth on seedling emergence and early growth of Vallisneria natans in a eutrophic lake with reduced transparency,,3,95.24%,95.24%
"Phylogenetic relationships of salangid fishes (Osmeridae, Salanginae) with comments on phylogenetic placement of the salangids based on mitochondrial DNA sequences.","Phylogenetic relationships of salangid fishes (Osmeridae, Salanginae) with comments on phylogenetic placement of the salangids based on mitochondrial DNA …",JA Lopez,26,90.00%,94.74%
Statistical analysis on adaptive evolution of SQUA genes in angiosperms.,Statistical analysis on adaptive evolution of SQUA genes in angiosperms,,1,90.00%,90.00%
Multilingual collection retrieving via ontology alignment.,Multilingual Collection Retrieving Via Ontology Alignment.,L Zhang G Wu,7,16.67%,16.67%
"Local competitive effects of introduced Spartina alterniflora on Scirpus mariqueter at Dongtan of Chongming Island, the Yangtze river estuary and their potential ecological consequences.","Local competitive effects of introduced Spartina alterniflora on Scirpus mariqueter at Dongtan of Chongming Island, the Yangtze River estuary and their potential …",,159,83.33%,90.91%
High-throughput S-SAP by fluorescent multiplex PCR and capillary electrophoresis in plants.,High-throughput S-SAP by fluorescent multiplex PCR and capillary electrophoresis in plants,,16,90.91%,90.91%
A molecular phylogeny of Oxya (Orthoptera: Acridoidea) in China inferred from partial cytochrome b gene sequences.,A molecular phylogeny of Oxya (Orthoptera: Acridoidea) in China inferred from partial cytochrome b gene sequences,,14,93.75%,93.75%
Molecular genetic variation in Chinese populations of three subspecies of Hippophae rhamnoides.,Molecular genetic variation in Chinese populations of three subspecies of Hippophae rhamnoides,,28,91.67%,91.67%
Chemical composition of the essential oil of Elephantopus scaber from southern China.,Chemical composition of the essential oil of Elephantopus scaber from southern China,,22,91.67%,91.67%
Semantic search among heterogeneous biological databases based on gene ontology.,Semantic search among heterogeneous biological databases based on gene ontology,,36,90.00%,90.00%
Reconstruction of the most recent common ancestor sequences of SARS-Cov S gene and detection of adaptive evolution in the spike protein. Chinese,Reconstruction of the most recent common ancestor sequences of SARS-CoV S gene and detection of adaptive evolution in the spike protein,,5,86.36%,90.48%
Bioinformatics analysis of two-component regulatory systems in Staphylococcus epidermidis.,Bioinformatics analysis of two-component regulatory systems in Staphylococcus epidermidis,,4,88.89%,88.89%
"Chemical composition of the essential oils of two Alpinia species from Hainan Island, China.","Chemical composition of the essential oils of two Alpinia species from Hainan Island, China",,13,92.86%,92.86%
"Chemical composition of the essential oils of Clausena lansium from Hainan Island, China.","Chemical composition of the essential oils of Clausena lansium from Hainan Island, China",J Zhaoa,18,92.31%,92.31%
Molecular phylogenetic relationships of Eastern Asian Cyprinidae (Pisces: Cypriniformes) inferred from cytochrome b sequences.,Molecular phylogenetic relationships of Eastern Asian Cyprinidae (Pisces: Cypriniformes) inferred from cytochrome b sequences,S He,66,92.86%,92.86%
Variation in inter-simple sequence repeat (ISSR) in mangrove and non-mangrove populations of Heritiera littoralis (Sterculiaceae) from China and Australia.,Variation in inter-simple sequence repeat (ISSR) in mangrove and non-mangrove populations of Heritiera littoralis (Sterculiaceae) from China and Australia,,65,94.74%,94.74%
"Interpopulation variability of rhizome essential oils in Rhodiola crenulate from Tibet and Yunnan, China.","[CITATION][C] Interpopulation variability of rhizome essential oils in Rhodiola crenulata from Tibet and Yunnan, China",L Wang S Liu,12,85.71%,80.00%
Genetic diversity of sea buckthorn (Hippophae rhamnoides) populations in northeastern and northwestern China as revealed by ISSR markers.,Genetic diversity of sea buckthorn (Hippophae rhamnoides) populations in northeastern and northwestern China as revealed by ISSR markers,,35,94.44%,94.44%
Volatile composition of Chinese Hippophae rhamnoides and its chemotaxonomic implications.,Volatile composition of Chinese Hippophae rhamnoides and its chemotaxonomic implications,,36,90.00%,90.00%
Molecular evolution of the SARS coronavirus during the course of the SARS epidemic in China.,Molecular evolution of the SARS coronavirus during the course of the SARS epidemic in China,,448,93.33%,93.33%
Genetic diversity of Hibiscus tiliaceus (Malvaceae) in China assessed using AFLP makers.,Genetic diversity of Hibiscus tiliaceus (Malvaceae) in China assessed using AFLP markers,,60,91.67%,91.67%
"Phylogenetic position of Schnabelia, a genus endemic to China: Evidence from sequences of cpDNA matK gene and nrDNA ITS regions.","Phylogenetic position ofSchnabelia, a genus endemic to China: Evidence from sequences of cpDNAmatK gene and nrDNA ITS regions",,12,75.00%,88.89%
"Urbanization, land use, and water quality in Shanghai","Urbanization, land use, and water quality in Shanghai: 1947–1996",,210,87.50%,77.78%
A phylogeny of Chinese species in the genus Phrynocephalus (Agamidae) inferred from mitochondrial DNA sequences.,A phylogeny of Chinese species in the genus Phrynocephalus (Agamidae) inferred from mitochondrial DNA sequences,,74,93.33%,93.33%
Identification of probable genomic packaging signal sequence from SARS_CoV genome by bioinformatics analysis.,Identification of probable genomic packaging signal sequence from SARS-CoV genome by bioinformatics analysis,,38,84.62%,84.62%
Putative hAPN receptor binding sites in SARS_CoV spike protein.,Putative hAPN receptor binding sites in SARS_CoV spike protein,JC Lin,56,88.89%,88.89%
Chemical composition of the essential oils of two Rhodiola species from Tibet.,Chemical composition of the essential oils of two Rhodiola species from Tibet,,32,91.67%,91.67%
Fanwort in Eastern China: an invasive aquatic plant and potential ecological consequences.,Fanwort in eastern China: an invasive aquatic plant and potential ecological consequences,J Chen,10,83.33%,83.33%
Rapid development of bioinformatics education in China.,Rapid development of bioinformatics education in China,Y Zhong X Zhang J Ma L Zhang,2,85.71%,85.71%
"Effect of inoculation with ecto- and arbuscular mycorrhizae and Rhizobium on the growth and nitrogen fixation by black locust, Robinia pseudoacacia.","Effect of inoculation with ecto-and arbuscular mycorrhizae and Rhizobium on the growth and nitrogen fixation by black locust, Robinia pseudoacacia",J Chen,29,85.71%,95.00%
Interpopulation congruence in Chinese Primula ovalifolia revealed by chemical and molecular markers using essential oils and ISSRs.,Interpopulation congruence in Chinese Primula ovalifolia revealed by chemical and molecular markers using essential oils and ISSRs,,33,94.12%,94.12%
Genetic diversity in Primula obconica from Central and South-west China as revealed by ISSR markers.,Genetic Diversity in Primula obconica (Primulaceae) from Central and South‐west China as Revealed by ISSR Markers,,77,73.33%,68.75%
"Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences.","Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences",Y Wang,37,92.31%,92.31%
Duplication and adaptive evolution of the chalcone synthase genes of Dendranthema (Asteraceae).,Duplication and adaptive evolution of the chalcone synthase genes of Dendranthema (Asteraceae),,74,91.67%,91.67%
Effects of VA mycorrhizae and Frankia dual inoculation on growth and nitrogen fixation of Hippophae Tibetan.,Effects of VA mycorrhizae and Frankia dual inoculation on growth and nitrogen fixation of Hippophae tibetana,,43,93.75%,93.75%
Composition of volatile oil of Primula obconica in Central China.,Composition of volatile oil of Primula obconica in Central China,,9,90.00%,90.00%
Detecting evolutionary rate heterogeneity among mangroves and their close terrestrial relatives.,Detecting evolutionary rate heterogeneity among mangroves and their close terrestrial relatives,,12,90.91%,90.91%
Phylogenetic relationships of the Rhizophoraceae in China based on sequences of the chloroplast gene matK and the internal transcribed spacer regions of nuclear ribosomal DNA and combined data set.,Phylogenetic relationships of the Rhizophoraceae in China based on sequences of the chloroplast gene matK and the internal transcribed spacer regions of nuclear …,,21,75.86%,100.00%
A new method for preparation of template DNA for PCR from special plant materials.,A new method for preparation of template DNA for PCR from special plant materials,,2,92.86%,92.86%
Advances in phylogenetic studies of Nematoda.,Advances in phylogenetic studies of Nematoda,J Chen,0,83.33%,83.33%
"Phylogeny of the Altingiaceae based on cpDNA matK, PY-IGS and nrDNA ITS sequences.","Phylogeny of the Altingiaceae based on cpDNA mat K, PY-IGS and nrDNA ITS sequences",,27,84.62%,78.57%
Collaborations tailored for bioinformatics projects.,Collaborations tailored for bioinformatics projects,Y Zhong L Zhang D Su,1,80.00%,80.00%
Evolution of parental ITS regions of nuclear rDNA in allopolyploid Aegilops (Poaceae) species.,Evolution of parental ITS regions of nuclear rDNA in allopolyploid Aegilops (Poaceae) species,C Wang,25,92.31%,92.31%
ITS regions in diploids of Aegilops (Poaceae) and their phylogenetic implications.,ITS regions in diploids of Aegilops (Poaceae) and their phylogenetic implications,JB Wang C Wang,17,90.91%,90.91%
Phylogenetic relationships of Actinidia and related genera based on micromorphological characters of foliar trichomes.,Phylogenetic relationships of Actinidia and related genera based on micromorphological characters of foliar trichomes,,15,92.86%,92.86%
"Influence of a catastrophic flood on densities and biomasses of three plant species in Poyang Lake, China.","Influence of a catastrophic flood on densities and biomasses of three plant species in Poyang Lake, China",J Chen,10,94.12%,94.12%
Testing hybridization hypotheses based on incongruent gene trees.,Testing hybridization hypotheses based on incongruent gene trees,,195,87.50%,87.50%
Phylogenetic relationships of the Magnoliaceae inferred from cpDNA matK sequences.,Phylogenetic relationships of the Magnoliaceae inferred from cpDNA matK sequences,,30,90.00%,90.00%
Testing relative evolutionary rates and estimating divergence times among six genera of Rhizophoraceae using cpDNA and nrDNA sequences.,Testing relative evolutionary rates and estimating divergence times among six genera of Rhizophoraceae using cpDNA and nrDNA sequences,,13,94.44%,94.44%
HICLAS: a taxonomic database system for displaying and comparing biological classification and phylogenetic trees.,HICLAS: a taxonomic database system for displaying and comparing biological classification and phylogenetic trees.,,17,100.00%,100.00%
A general method for tree-comparison based on subtree similarity and its use in a taxonomic database.,A general method for tree-comparison based on subtree similarity and its use in a taxonomic database,,22,93.75%,93.75%
Data model and comparison and query methods for interacting classifications in a taxonomic database.,Data model and comparison and query methods for interacting classifications in a taxonomic database,,28,92.86%,92.86%
A new data model for biological classification.,A new data model for biological classification,,9,85.71%,85.71%
"Investigation of an anisotropic plate model to evaluate the interface adhesion of thin film with cross-sectional nanoindentation method,",Investigation of an anisotropic plate model to evaluate the interface adhesion of thin film with cross-sectional nanoindentation method,,20,94.44%,94.44%
Pulsed-laser deposition of polycrystalline Ni films: a three-dimensional kinetic Monte Carlo simulation,Pulsed-laser deposition of polycrystalline Ni films: A three-dimensional kinetic Monte Carlo simulation,,21,91.67%,91.67%
"Dependence of morphology of pulsed-laser deposited coatings on temperature: a kinetic Monte Carlo simulation,",Dependence of morphology of pulsed-laser deposited coatings on temperature: a kinetic Monte Carlo simulation,,16,92.86%,92.86%
"Comparison of island formation between pulsed laser deposition and molecular beam epitaxy: a kinetic Monte Carlo simulation,",Comparison of island formation between pulsed laser deposition and molecular beam epitaxy: A kinetic Monte Carlo simulation,,1,88.24%,88.24%
"Electrical properties of Nd-substrated Bi4Ti3O12 thin films fabricated by chemical solution deposition,","Effect of annealing temperature on ferroelectric properties of (Bi, Nd) 4 (Ti, V) 3O12 thin films",,3,41.67%,25.00%
"Evaluation of the effective elastic constants for polycrystalline PZT thin films by XRD patterns and pole figures, in Advances in Rheology and its Applications",Evaluation of effective elastic constants for polycrystalline PZT thin films by XRD patterns and pole figures,B Wu,0,62.50%,100.00%
"Measurement of residual stress in PZT thin films based on statistic average of micro-mechanics, in Advances in Rheology and its Applications",A brief review and prospect of experimental solid mechanics in China,,21,14.29%,54.55%
"Thermal shock and thermal fatigue of ferroelectric thin film due to pulsed laser heating, Macro-, Meso-, Micro- and Nano-Mechanics of Materials,",Thermal shock and thermal fatigue of ferroelectric thin film due to pulsed laser heating,,3,61.90%,107.14%
Chemical composition of the essential oils of two Rhodiola species from Tibet.,Chemical composition of the essential oils of two Rhodiola species from Tibet,,32,91.67%,91.67%
Fanwort in Eastern China: an invasive aquatic plant and potential ecological consequences.,Fanwort in eastern China: an invasive aquatic plant and potential ecological consequences,J Chen,10,83.33%,83.33%
Rapid development of bioinformatics education in China.,Rapid development of bioinformatics education in China,Y Zhong X Zhang J Ma L Zhang,2,85.71%,85.71%
"Effect of inoculation with ecto- and arbuscular mycorrhizae and Rhizobium on the growth and nitrogen fixation by black locust, Robinia pseudoacacia.","Effect of inoculation with ecto-and arbuscular mycorrhizae and Rhizobium on the growth and nitrogen fixation by black locust, Robinia pseudoacacia",J Chen,29,85.71%,95.00%
Interpopulation congruence in Chinese Primula ovalifolia revealed by chemical and molecular markers using essential oils and ISSRs.,Interpopulation congruence in Chinese Primula ovalifolia revealed by chemical and molecular markers using essential oils and ISSRs,,33,94.12%,94.12%
Genetic diversity in Primula obconica from Central and South-west China as revealed by ISSR markers.,Genetic Diversity in Primula obconica (Primulaceae) from Central and South‐west China as Revealed by ISSR Markers,,77,73.33%,68.75%
"Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences.","Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences",Y Wang,37,92.31%,92.31%
Duplication and adaptive evolution of the chalcone synthase genes of Dendranthema (Asteraceae).,Duplication and adaptive evolution of the chalcone synthase genes of Dendranthema (Asteraceae),,74,91.67%,91.67%
Effects of VA mycorrhizae and Frankia dual inoculation on growth and nitrogen fixation of Hippophae Tibetan.,Effects of VA mycorrhizae and Frankia dual inoculation on growth and nitrogen fixation of Hippophae tibetana,,43,93.75%,93.75%
Composition of volatile oil of Primula obconica in Central China.,Composition of volatile oil of Primula obconica in Central China,,9,90.00%,90.00%
Detecting evolutionary rate heterogeneity among mangroves and their close terrestrial relatives.,Detecting evolutionary rate heterogeneity among mangroves and their close terrestrial relatives,,12,90.91%,90.91%
Phylogenetic relationships of the Rhizophoraceae in China based on sequences of the chloroplast gene matK and the internal transcribed spacer regions of nuclear ribosomal DNA and combined data set.,Phylogenetic relationships of the Rhizophoraceae in China based on sequences of the chloroplast gene matK and the internal transcribed spacer regions of nuclear …,,21,75.86%,100.00%
A new method for preparation of template DNA for PCR from special plant materials.,A new method for preparation of template DNA for PCR from special plant materials,,2,92.86%,92.86%
Advances in phylogenetic studies of Nematoda.,Advances in phylogenetic studies of Nematoda,J Chen,0,83.33%,83.33%
"Phylogeny of the Altingiaceae based on cpDNA matK, PY-IGS and nrDNA ITS sequences.","Phylogeny of the Altingiaceae based on cpDNA mat K, PY-IGS and nrDNA ITS sequences",,27,84.62%,78.57%
Collaborations tailored for bioinformatics projects.,Collaborations tailored for bioinformatics projects,Y Zhong L Zhang D Su,1,80.00%,80.00%
Evolution of parental ITS regions of nuclear rDNA in allopolyploid Aegilops (Poaceae) species.,Evolution of parental ITS regions of nuclear rDNA in allopolyploid Aegilops (Poaceae) species,C Wang,25,92.31%,92.31%
ITS regions in diploids of Aegilops (Poaceae) and their phylogenetic implications.,ITS regions in diploids of Aegilops (Poaceae) and their phylogenetic implications,JB Wang C Wang,17,90.91%,90.91%
Phylogenetic relationships of Actinidia and related genera based on micromorphological characters of foliar trichomes.,Phylogenetic relationships of Actinidia and related genera based on micromorphological characters of foliar trichomes,,15,92.86%,92.86%
"Influence of a catastrophic flood on densities and biomasses of three plant species in Poyang Lake, China.","Influence of a catastrophic flood on densities and biomasses of three plant species in Poyang Lake, China",J Chen,10,94.12%,94.12%
Testing hybridization hypotheses based on incongruent gene trees.,Testing hybridization hypotheses based on incongruent gene trees,,195,87.50%,87.50%
Phylogenetic relationships of the Magnoliaceae inferred from cpDNA matK sequences.,Phylogenetic relationships of the Magnoliaceae inferred from cpDNA matK sequences,,30,90.00%,90.00%
Testing relative evolutionary rates and estimating divergence times among six genera of Rhizophoraceae using cpDNA and nrDNA sequences.,Testing relative evolutionary rates and estimating divergence times among six genera of Rhizophoraceae using cpDNA and nrDNA sequences,,13,94.44%,94.44%
HICLAS: a taxonomic database system for displaying and comparing biological classification and phylogenetic trees.,HICLAS: a taxonomic database system for displaying and comparing biological classification and phylogenetic trees.,,17,100.00%,100.00%
A general method for tree-comparison based on subtree similarity and its use in a taxonomic database.,A general method for tree-comparison based on subtree similarity and its use in a taxonomic database,,22,93.75%,93.75%
Data model and comparison and query methods for interacting classifications in a taxonomic database.,Data model and comparison and query methods for interacting classifications in a taxonomic database,,28,92.86%,92.86%
A new data model for biological classification.,A new data model for biological classification,,9,85.71%,85.71%
"Investigation of an anisotropic plate model to evaluate the interface adhesion of thin film with cross-sectional nanoindentation method,",Investigation of an anisotropic plate model to evaluate the interface adhesion of thin film with cross-sectional nanoindentation method,,20,94.44%,94.44%
Pulsed-laser deposition of polycrystalline Ni films: a three-dimensional kinetic Monte Carlo simulation,Pulsed-laser deposition of polycrystalline Ni films: A three-dimensional kinetic Monte Carlo simulation,,21,91.67%,91.67%
"Dependence of morphology of pulsed-laser deposited coatings on temperature: a kinetic Monte Carlo simulation,",Dependence of morphology of pulsed-laser deposited coatings on temperature: a kinetic Monte Carlo simulation,,16,92.86%,92.86%
"Comparison of island formation between pulsed laser deposition and molecular beam epitaxy: a kinetic Monte Carlo simulation,",Comparison of island formation between pulsed laser deposition and molecular beam epitaxy: A kinetic Monte Carlo simulation,,1,88.24%,88.24%
"Electrical properties of Nd-substrated Bi4Ti3O12 thin films fabricated by chemical solution deposition,","Effect of annealing temperature on ferroelectric properties of (Bi, Nd) 4 (Ti, V) 3O12 thin films",,3,41.67%,25.00%
"Evaluation of the effective elastic constants for polycrystalline PZT thin films by XRD patterns and pole figures, in Advances in Rheology and its Applications",Evaluation of effective elastic constants for polycrystalline PZT thin films by XRD patterns and pole figures,B Wu,0,62.50%,100.00%
"Measurement of residual stress in PZT thin films based on statistic average of micro-mechanics, in Advances in Rheology and its Applications",A brief review and prospect of experimental solid mechanics in China,,21,14.29%,54.55%
"Thermal shock and thermal fatigue of ferroelectric thin film due to pulsed laser heating, Macro-, Meso-, Micro- and Nano-Mechanics of Materials,",Thermal shock and thermal fatigue of ferroelectric thin film due to pulsed laser heating,,3,61.90%,107.14%
Dependence of Ba(Zr0.1Ti0.9)O3 films  growth on substrate temperature upon radio-frequency plasma enhanced pulsed laser deposition,Dependence of Ba (Zr 0.1 Ti 0.9) O 3 films growth on substrate temperature upon radio-frequency plasma enhanced pulsed laser deposition,,11,87.50%,66.67%
Structure evolution and ferroelectric and dielectric properties of Bi3.5Nd0.5Ti3O12 thin films under a moderate temperature annealing,Structure evolution and ferroelectric and dielectric properties of  thin films under a moderate temperature annealing,,63,93.75%,93.75%
Fanwort in Eastern China: an invasive aquatic plant and potential ecological consequences.,Fanwort in eastern China: an invasive aquatic plant and potential ecological consequences,J Chen,10,83.33%,83.33%
Rapid development of bioinformatics education in China.,Rapid development of bioinformatics education in China,Y Zhong X Zhang J Ma L Zhang,2,85.71%,85.71%
"Effect of inoculation with ecto- and arbuscular mycorrhizae and Rhizobium on the growth and nitrogen fixation by black locust, Robinia pseudoacacia.","Effect of inoculation with ecto-and arbuscular mycorrhizae and Rhizobium on the growth and nitrogen fixation by black locust, Robinia pseudoacacia",J Chen,29,85.71%,95.00%
Interpopulation congruence in Chinese Primula ovalifolia revealed by chemical and molecular markers using essential oils and ISSRs.,Interpopulation congruence in Chinese Primula ovalifolia revealed by chemical and molecular markers using essential oils and ISSRs,,33,94.12%,94.12%
Genetic diversity in Primula obconica from Central and South-west China as revealed by ISSR markers.,Genetic Diversity in Primula obconica (Primulaceae) from Central and South‐west China as Revealed by ISSR Markers,,77,73.33%,68.75%
"Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences.","Phylogenetic relationships of Combretoideae (Combretaceae) inferred from plastid, nuclear gene and spacer sequences",Y Wang,37,92.31%,92.31%
Duplication and adaptive evolution of the chalcone synthase genes of Dendranthema (Asteraceae).,Duplication and adaptive evolution of the chalcone synthase genes of Dendranthema (Asteraceae),,74,91.67%,91.67%
Effects of VA mycorrhizae and Frankia dual inoculation on growth and nitrogen fixation of Hippophae Tibetan.,Effects of VA mycorrhizae and Frankia dual inoculation on growth and nitrogen fixation of Hippophae tibetana,,43,93.75%,93.75%
Composition of volatile oil of Primula obconica in Central China.,Composition of volatile oil of Primula obconica in Central China,,9,90.00%,90.00%
Detecting evolutionary rate heterogeneity among mangroves and their close terrestrial relatives.,Detecting evolutionary rate heterogeneity among mangroves and their close terrestrial relatives,,12,90.91%,90.91%
Phylogenetic relationships of the Rhizophoraceae in China based on sequences of the chloroplast gene matK and the internal transcribed spacer regions of nuclear ribosomal DNA and combined data set.,Phylogenetic relationships of the Rhizophoraceae in China based on sequences of the chloroplast gene matK and the internal transcribed spacer regions of nuclear …,,21,75.86%,100.00%
A new method for preparation of template DNA for PCR from special plant materials.,A new method for preparation of template DNA for PCR from special plant materials,,2,92.86%,92.86%
Advances in phylogenetic studies of Nematoda.,Advances in phylogenetic studies of Nematoda,J Chen,0,83.33%,83.33%
"Phylogeny of the Altingiaceae based on cpDNA matK, PY-IGS and nrDNA ITS sequences.","Phylogeny of the Altingiaceae based on cpDNA mat K, PY-IGS and nrDNA ITS sequences",,27,84.62%,78.57%
Collaborations tailored for bioinformatics projects.,Collaborations tailored for bioinformatics projects,Y Zhong L Zhang D Su,1,80.00%,80.00%
Evolution of parental ITS regions of nuclear rDNA in allopolyploid Aegilops (Poaceae) species.,Evolution of parental ITS regions of nuclear rDNA in allopolyploid Aegilops (Poaceae) species,C Wang,25,92.31%,92.31%
