line,title,author,cited_num,relate,reverse_relate
Strength asymmetry of ductile dendrites reinforced Zr-and Ti-based composites,Strength asymmetry of ductile dendrites reinforced Zr-and Ti-based composites,J Das,37,100.00%,100.00%
Radial moduli of individual single-walled carbon nanotubes with and without electric current flow,Radial moduli of individual single-walled carbon nanotubes with and without electric current flow,HY Wang M Zhao,16,100.00%,100.00%
Porous CuO–ZnO nanocomposite for sensing electrode of high-temperature CO solid-state electrochemical sensor,Porous CuO–ZnO nanocomposite for sensing electrode of high-temperature CO solid-state electrochemical sensor,N Wu M Zhao JG Zheng B Myers,74,100.00%,100.00%
In-Situ TEM Studies of the Deformation Mechanism of Nanocrystaline Ni.,In-situ TEM studies of the deformation mechanism of nanocrystaline Ni,Z Shan EA Stach JMK Wiezorek,1,40.00%,40.00%
Direct Evidence of a Deformation Mechanism Crossover in Nanocrystalline Nickel,Direct evidence of a deformation mechanism crossover in nanocrystalline nickel,Z Shan,15,40.00%,40.00%
Nanomechanical characterization of ZnS nanobelts,Nanomechanical characterization of ZnS nanobelts,S Li,24,100.00%,100.00%
"Response to Comment on ""Grain Boundary-Mediated Plasticity in Nanocrystalline Nickel""","Response to Comment on"" Grain Boundary-Mediated Plasticity in Nanocrystalline Nickel""",Z Shan EA Stach JMK Wiezorek,32,80.00%,80.00%
Hot Corrosion Mechanism of Composite Alumina/Yttria‐Stabilized Zirconia Coating in Molten Sulfate–Vanadate Salt,Hot Corrosion Mechanism of Composite Alumina/Yttria‐Stabilized Zirconia Coating in Molten Sulfate–Vanadate Salt,N Wu,34,100.00%,100.00%
Impedance-metric Pt/YSZ/Au–Ga2O3 sensor for CO detection at high temperature,Impedance-metric Pt/YSZ/Au–Ga 2 O 3 sensor for CO detection at high temperature,N Wu M Chyu,49,88.89%,66.67%
Effect of N 2 flow rate on morphology and structure of ZnO nanocrystals synthesized via vapor deposition,Effect of N 2 flow rate on morphology and structure of ZnO nanocrystals synthesized via vapor deposition,N Wu Z Shan M Zhao,68,100.00%,100.00%
Grain boundary-mediated plasticity in nanocrystalline nickel.,Grain boundary-mediated plasticity in nanocrystalline nickel,Z Shan EA Stach JMK Wiezorek,646,83.33%,83.33%
Piezoelectric Characterization of Individual Zinc Oxide Nanobelt Probed by Piezoresponse Force Microscope,Piezoelectric characterization of individual zinc oxide nanobelt probed by piezoresponse force microscope,MH Zhao ZL Wang,536,25.00%,25.00%
Zinc oxide nanotetrapods,Zinc oxide nanotetrapods,Z Shan,127,100.00%,100.00%
Failure detection of thermal barrier coatings using impedance spectroscopy,Failure detection of thermal barrier coatings using impedance spectroscopy,NQ Wu M Chyu,32,100.00%,100.00%
A novel and simple growth route towards ultra-fine ZnO nanowires,A novel and simple growth route towards ultra-fine ZnO nanowires,Z Shan,52,100.00%,100.00%
Fine carbide-strengthened 3Cr2WVTa bainitic steel,Fine carbide-strengthened 3Cr-2WVTa bainitic steel,ZW Shan NQ Wu,10,80.00%,80.00%
Interfacial Structure and Micro and Nano-Mechanical Behavior of Laser-Welded 6061 Aluminum Alloy Blank,Interfacial structure and micro and nano-mechanical behavior of laser-welded 6061 aluminum alloy blank,NQ Wu,16,38.46%,38.46%
Effect of microcracking on electric-field-induced stress intensity factors in dielectric ceramics,Effect of microcracking on electric-field-induced stress intensity factors in dielectric ceramics,,2,100.00%,100.00%
Material-length-scale-controlled nanoindentation size effects due to strain-gradient plasticity,Material-length-scale-controlled nanoindentation size effects due to strain-gradient plasticity,M Zhao,105,100.00%,100.00%
Fracture and cavitation in a constrained thin metal layer under a scale effect in layered materials,Fracture and cavitation in a constrained thin metal layer under a scale effect in layered materials,JM Wiezorek,1,100.00%,100.00%
Effect of Al 2O 3 overlay on hot-corrosion behavior of yttria-stabilized zirconia coating in molten sulfate-vanadate salt,Effect of Al 2 O 3 overlay on hot-corrosion behavior of yttria-stabilized zirconia coating in molten sulfate-vanadate salt,NQ Wu J Singh,63,94.12%,88.89%
Nanoscale mechanical behavior of individual semiconducting nanobelts,Nanoscale mechanical behavior of individual semiconducting nanobelts,M Zhao ZL Wang,106,100.00%,100.00%
Processing and mechanical behaviour of TiAl/NiAl intermetallic composites produced by cryogenic mechanical alloying,Processing and mechanical behaviour of TiAl/NiAl intermetallic composites produced by cryogenic mechanical alloying,NQ Wu,28,100.00%,100.00%
Neutron sources in the Varian Clinac 2100C/2300C medical accelerator calculated by the EGS4 code.,Neutron sources in the Varian Clinac 2100C/2300C medical accelerator calculated by the EGS4 code,,93,92.86%,92.86%
"Atmospheric PCBs and organochlorine pesticides in Birmingham, UK: concentrations, sources, temporal and seasonal trends","Atmospheric PCBs and organochlorine pesticides in Birmingham, UK: concentrations, sources, temporal and seasonal trends",S Harrad,85,100.00%,100.00%
Semi-supervised feature selection via hierarchical regression for WEB image classification,Semi-supervised feature selection via hierarchical regression for web image classification,X Song Y Han J Jiang,11,90.00%,90.00%
Hybrid sampling-based clustering ensemble with global and local constitutions,Hybrid sampling-based clustering ensemble with global and local constitutions,Y Yang J Jiang,14,100.00%,100.00%
HMM-based hybrid meta-clustering ensemble for temporal data,HMM-based hybrid meta-clustering ensemble for temporal data,Y Yang J Jiang,3,100.00%,100.00%
Recognition of Chinese artists via windowed and entropy balanced fusion and classification of their authored IWPs',Recognition of Chinese artists via windowed and entropy balanced fusion in classification of their authored ink and wash paintings (IWPs),,6,93.75%,75.00%
Context-Aware and Energy-Driven Route Optimization for Fully Electric Vehicle via crowdsourcing,Context-aware and energy-driven route optimization for fully electric vehicles via crowdsourcing,Y Wang J Jiang T Mu,35,36.36%,36.36%
A spectral multiplicity-tolerant approach to robust graph matching,A spectral-multiplicity-tolerant approach to robust graph matching,W Feng J Jiang,7,75.00%,85.71%
Palmprint matching using feature points and SVD factorisation,Palmprint matching using feature points and SVD factorisation,J Jiang,17,100.00%,100.00%
Reliable Camera Motion Estimation from Compressed MPEG Videos using Machine Learning Approach,Reliable camera motion estimation from compressed MPEG videos using machine learning approach,J Ren,0,33.33%,33.33%
Style based classification of traditional Chinese paintings,Modelling traditional Chinese paintings for content-based image classification and retrieval,D Zhang Y Li,19,57.14%,40.00%
Automated Induction of Heterogeneous Proximity Measures for Supervised Spectral Embedding,Automated induction of heterogeneous proximity measures for supervised spectral embedding,E Rodriguez-Martinez T Mu J Jiang,1,30.00%,30.00%
Automatically fast determining of the feature number for ranking based feature selection,Automatically fast determining of feature number for ranking-based feature selection,Z Wang,3,75.00%,90.00%
Multi-core Large-scale Image-based Modeling,Multi-core large-scale image-based modeling,K Li,0,25.00%,25.00%
Quality-of-service analysis of queuing systems with long-range-dependent network traffic and variable service capacity,Quality-of-service analysis of queuing systems with long-range-dependent network traffic and variable service capacity,X Jin G Min J Jiang,6,100.00%,100.00%
Heterogeneous Delay Embeddings for Travel Time and Energy Cost Prediction via Regression Analysis,Heterogeneous delay embedding for travel time and energy cost prediction via regression analysis,T Mu J Jiang,12,30.77%,30.77%
Analysis of performance of palmprint matching with enforced sparsity,Analysis of performance of palmprint matching with enforced sparsity,J Jiang,15,100.00%,100.00%
Sparse unsupervised dimensionality reduction for multiple view data,Sparse unsupervised dimensionality reduction for multiple view data,Y Han F Wu D Tao J Shao,60,100.00%,100.00%
An adaptive data embedding framework for multi-class classification,Adaptive mixtures of local experts,RA Jacobs MI Jordan GE Hinton,3590,0.00%,0.00%
DBN-based structural learning and optimisation for automated handwritten character recognition,DBN-based structural learning and optimisation for automated handwritten character recognition,J Jiang,8,100.00%,100.00%
Robust image watermarking via geometrically invariant feature points and image normalization,Robust image watermarking via geometrically invariant feature points and image normalisation,I Nasir F Khelifi J Jiang,40,90.91%,90.91%
Video motion estimation with temporal coherence,Video motion estimation with temporal coherence,L Li W Feng J Zhang J Jiang,0,100.00%,100.00%
Fast Camera Motion Estimation in MPEG Compressed Domain,Fast camera motion estimation in MPEG compressed domain,Y Weng J Jiang,6,37.50%,37.50%
Three-Dimensional motion estimation via matrix completion,Three-dimensional motion estimation via matrix completion,K Li Q Dai J Yang J Jiang,14,83.33%,83.33%
EcoGem: A European Framework-7 project towards cooperative and intelligent optimization of travel planning and energy saving for drivers of fully electric vehicles,ECOGEM: A European Framework-7 Project,J Jiang J Charles,4,13.64%,60.00%
Effective Venue Image Retrieval using Robust Feature Extraction and Model Constrained Matching for Mobile Robot Localization,Effective venue image retrieval using robust feature extraction and model constrained matching for mobile robot localization,Y Feng J Ren J Jiang M Halvey JM Jose,8,25.00%,25.00%
Object-based 2D-to-3D Video Conversion for Effective Stereoscopic Content Generation in 3D-TV Applications,Object-based 2D-to-3D video conversion for effective stereoscopic content generation in 3D-TV applications,Y Feng J Ren J Jiang,44,41.67%,41.67%
Effective Recognition of MCCs in Mammograms Using an Improved Neural Classifier,Effective recognition of MCCs in mammograms using an improved neural classifier,J Ren J Jiang,19,45.45%,45.45%
Offline Handwritten Arabic Cursive Text Recognition using Hidden Markov Models,Offline handwritten Arabic cursive text recognition using Hidden Markov Models and re-ranking,J Ren J Jiang H Al-Muhtaseb,77,60.00%,50.00%
Performance of Hidden Markov Model and Dynamic Bayesian Network Classifiers on Handwritten Arabic Word Recognition,Performance of hidden Markov model and dynamic Bayesian network classifiers on handwritten Arabic word recognition,J Ren J Jiang,40,46.67%,46.67%
A Generic Framework for Content-based Stereo Image/Video Retrieval,Generic framework for content-based stereo image/video retrieval,Y Feng J Ren J Jiang,11,25.00%,28.57%
SVM tree based domain knowledge learning towards automated sport video classifications,Support-vector-machine tree-based domain knowledge learning toward automated sports video classification,Y Jiang,4,45.45%,50.00%
Medical image analysis with artificial neural networks,Medical image analysis with artificial neural networks,J Jiang J Ren,189,100.00%,100.00%
Activity-Driven Content Adaptation for Effective Video Summarization,Activity-driven content adaptation for effective video summarization,J Ren J Jiang Y Feng,10,14.29%,14.29%
A mixed ranking scheme for video retrieval,IBM research TRECVID-2003 video retrieval system,A Amir SF Chang W Hsu,341,28.57%,33.33%
k-NN regression to improve statistical feature extraction for texture retrieval,-NN Regression to Improve Statistical Feature Extraction for Texture Retrieval,F Khelifi J Jiang,15,20.00%,20.00%
Normalized Co-occurrence Mutual Information for Facial Pose Detection inside Videos,Normalized co-occurrence mutual information for facial pose detection inside videos,J Jiang,4,30.00%,30.00%
LIVE: an integrated production and feedback system for intelligent and interactive TV broadcasting,LIVE: an integrated production and feedback system for intelligent and interactive TV broadcasting,J Jiang,27,100.00%,100.00%
PROTAGE: An FP7 Funded Project towards Computerized Digital Preservation via Intelligent Agent Based Approaches,Time Machine: Projecting the Digital Assets onto the Future Simulation Environment,JL de la Rosa,0,7.14%,9.09%
Context aware shot cut detection in compressed domain,Modelling of content-aware indicators for effective determination of shot boundaries in compressed MPEG videos,J Chen J Ren J Jiang,5,37.50%,21.43%
An EDBoost Algorithm towards Robust Face Recognition in JPEG Compressed Domain,An EDBoost algorithm towards robust face recognition in JPEG compressed domain,J Jiang,6,45.45%,45.45%
Perceptual Image Hashing Based on Fake Watermark Detection,Perceptual image hashing based on virtual watermark detection,F Khelifi J Jiang,80,25.00%,25.00%
High-accuracy sub-pixel motion estimation from sub-pixel based noisy images in Fourier domain,High-accuracy sub-pixel motion estimation from noisy images in Fourier domain,J Ren J Jiang,43,83.33%,110.00%
Extracting objects and events from MPEG sequences for video highlights indexing and retrieval,Applications of video-content analysis and retrieval,N Dimitrova HJ Zhang B Shahraray,367,15.38%,50.00%
A boosted manifold learning for automatic face recognition,A boosted manifold learning for automatic face recognition,J Jiang G Feng,8,100.00%,100.00%
Empirical Mode Decomposition based Facial Pose Estimation inside Video Sequences,Empirical mode decomposition-based facial pose estimation inside video sequences,J Jiang,8,20.00%,22.22%
Analysis of the Security of Perceptual Image Hashing Based on Non Negative Matrix Factorization,Analysis of the security of perceptual image hashing based on non-negative matrix factorization,F Khelifi J Jiang,36,35.71%,38.46%
Computer-aided memory management via intelligent computations,HERMES: A FP7 funded project towards computer-aided memory management via intelligent computations,J Jiang A Geven,13,83.33%,41.67%
A Novel Feature Selection Approach for Biomedical Data Classification,A novel feature selection approach for biomedical data classification,J Jiang,144,22.22%,22.22%
Multiclass classification of unconstrained handwritten Arabic words using machine learning approaches,Multiclass classification of unconstrained handwritten arabic words using machine learning approaches,J Jiang J Ren F Khelifi,23,90.91%,90.91%
Fusion of Intensity and Inter-component Chromatic Difference for Effective and Robust Colour Edge Detection,Fusion of intensity and inter-component chromatic difference for effective and robust colour edge detection,J Ren J Jiang,22,35.71%,35.71%
Multiple spatial watermarking technique in color images,Multiple spatial watermarking technique in color images,I Nasir Y Weng J Jiang,29,100.00%,100.00%
Object based pseudo-3D conversion of 2D videos,Object based Pseudo-3D Conversion of 2D Videos,J Jiang,0,57.14%,57.14%
Hierarchical Modelling and Adaptive Clustering for Real-time Summarization of Rush Videos,Hierarchical modeling and adaptive clustering for real-time summarization of rush videos,J Ren J Jiang,35,36.36%,36.36%
Component-based Segmentation of Words  from Handwritten Arabic Text,Component-based segmentation of words from handwritten Arabic text,J Jiang J Ren,17,44.44%,50.00%
Automated activity detection from camera feed videos,Automatic partitioning of full-motion video,HJ Zhang A Kankanhalli,1886,0.00%,0.00%
Shot boundary detection in MPEG videos using local and global indicators,Shot boundary detection in MPEG videos using local and global indicators,J Ren J Jiang J Chen,39,100.00%,100.00%
An edge block content descriptor for MPEG compressed videos,[CITATION][C] An edge block content descriptor for MPEG compressed videos,,4,100.00%,90.00%
Computerised Interactive Gaming via Supporting Vector Machines,Computerized interactive gaming via supporting vector machines,Y Jiang J Jiang,1,14.29%,14.29%
Real-time and automatic close up retrieval from compressed videos,Real-time and automatic close-up retrieval from compressed videos,Y Weng J Jiang,4,77.78%,87.50%
Progressive content access to databases of JPEG compressed images,Progressive content access to databases of JPEG-compressed images,J Jiang G Feng Y Yin,1,77.78%,87.50%
Real-time shot cut detection in compressed domain,Real-time shot-cut detection in a compressed domain,J Jiang J Chen,3,71.43%,71.43%
Robustness analysis of facial image description in DCT domain,Robustness analysis on facial image description in DCT domain,J Jiang G Feng,16,88.89%,88.89%
PCA based approach for video scene change detection on compressed videos,PCA-based approach for video scene change detection on compressed video,,11,81.82%,80.00%
Adding lossless compression to MPEGs,Adding lossless compression to MPEGs,J Jiang,0,100.00%,100.00%
Knowledge-Discovery Incorporated Evolutionary Search for Microcalcification Detection in Breast Cancer Diagnosis,Knowledge-discovery incorporated evolutionary search for microcalcification detection in breast cancer diagnosis,J Jiang,36,18.18%,18.18%
A fuzzy logic approach for detection of video shot boundaries,A fuzzy logic approach for detection of video shot boundaries,H Fang J Jiang Y Feng,71,100.00%,100.00%
A genetic algorithm based microcalcification detection and classification for breast cancer screening,Mammographic features of 300 consecutive nonpalpable breast cancers,,410,8.33%,12.50%
A robust to rotation texture descriptor for image retrieval in wavelets domain,Robust-to-rotation texture descriptor for image retrieval in wavelets domain,J Jiang Y Weng Y Feng,4,66.67%,88.89%
Dominant colour extraction in compressed domain,Dominant colour extraction in DCT domain,J Jiang Y Weng,37,83.33%,83.33%
Shape-based image retrieval for JPEG-2000 compressed image databases,Shape-based image retrieval for JPEG-2000 compressed image databases,J Jiang,4,100.00%,100.00%
MPEG based lossless video compression,H. 264 and MPEG-4 video compression: video coding for next-generation multimedia,IE Richardson,3483,40.00%,9.09%
Integration of fuzzy logic and structure tensor towards mammogram contrast enhancement,Integration of fuzzy logic and structure tensor towards mammogram contrast enhancement,J Jiang,41,100.00%,100.00%
Adaptive contrast enhancement based on highly overlapped interpolation,Adaptive contrast enhancement based on highly overlapped interpolation,J Jiang,1,100.00%,100.00%
Video Extraction for Fast Content Access to MPEG Compressed Videos,Video extraction for fast content access to MPEG compressed videos,J Jiang Y Weng,17,40.00%,40.00%
Web-based image retrieval in JPEG compressed domain,Region-based image retrieval in JPEG compressed domain,B Baharudin J Jiang,0,85.71%,85.71%
Low-cost and fast partial decoding of compressed videos,Low-cost and fast partial decoding of compressed videos,J Jiang H Fang,2,100.00%,100.00%
Image segmentation in compressed domain,Image segmentation in compressed domain,GC Feng J Jiang,18,100.00%,100.00%
On-line improvement of rate-distortion performance in MPEG-2 rate control,On-line improvements of the rate-distortion performance in MPEG-2 rate control,C Grecos J Jiang,27,88.89%,80.00%
Wavelet-based Rayleigh background removal in MRI,Wavelet-based Rayleigh background removal in MRI,J Jiang,12,100.00%,100.00%
Integrated data compression and image indexing,An integrated system for content-based video retrieval and browsing,HJ Zhang,663,16.67%,11.11%
Image extraction in DCT domain,Image extraction in DCT domain,GC Feng J Jiang,31,100.00%,100.00%
Low Computational Cost Improvements of the Rate-Distortion Performance in MPEG-2 Rate Control,Low computational cost improvements of the rate-distortion performance in MPEG-2 rate control,C Grecos J Jiang,0,41.67%,41.67%
Direct content access and extraction from JPEG compressed images,Direct content access and extraction from JPEG compressed images,J Jiang GC Feng,78,100.00%,100.00%
A hybrid scheme for low-bit rate stereo image compression,A hybrid scheme for low-bit rate stereo image compression,J Jiang EA Edirisinghe,0,100.00%,100.00%
Towards an improvement of prediction accuracy in JPEG-LS,Towards improved prediction accuracy in JPEG-LS,J Jiang C Grecos,12,62.50%,83.33%
A data hiding approach for efficient image indexing,Data hiding approach for efficient image indexing,J Jiang,34,75.00%,85.71%
JPEG compressed image retrieval via statistical features,JPEG compressed image retrieval via statistical features,G Feng J Jiang,118,100.00%,100.00%
The spatial relationship of DCT coefficients between a block and its sub-blocks,The spatial relationship of DCT coefficients between a block and its sub-blocks,J Jiang G Feng,147,100.00%,100.00%
Two low cost algorithms for improved diagonal edge detection in JPEG-LS’,Two low cost algorithms for improved diagonal edge detection in JPEG-LS,C Grecos J Jiang,14,90.91%,90.91%
Adding rate control to JPEG-LS’,Adding rate control to JPEG-LS,J Jiang C Grecos,3,80.00%,80.00%
A low cost design of rate controlled JPEG-LS near lossless image compression,A low cost design of rate controlled JPEG-LS near lossless image compression,J Jiang C Grecos,8,100.00%,100.00%
A low cost content adaptive and rate controllable near lossless image codec in DPCM domain,A low-cost content-adaptive and rate-controllable near-lossless image codec in DPCM domain,J Jiang,29,46.67%,63.64%
A shape adaptive padding technique for MPEG-4’,The MPEG-4 video standard verification model,T Sikora,802,0.00%,0.00%
Revisit to JPEG-LS prediction scheme,Revisiting the JPEG-LS prediction scheme,J Jiang,47,60.00%,60.00%
Image compression with neural networks: A Survey,Image compression with neural networks–a survey,J Jiang,188,57.14%,66.67%
Homotopy-Enhanced Power Flow Methods for General Distribution Networks With Distributed Generators,Homotopy-enhanced power flow methods for general distribution networks with distributed generators,HD Chiang,15,9.09%,9.09%
Analytical Studies of Quasi Steady-State Model in Power System Long-Term Stability Analysis,Analytical studies of quasi steady-state model in power system long-term stability analysis,X Wang HD Chiang,19,25.00%,25.00%
Energy Function for Power System With Detailed DC Model: Construction and Analysis,Energy function for power system with detailed DC model: construction and analysis,HD Chiang,4,33.33%,33.33%
Numerical Investigation on the Damping Property in Power System Transient Behavior,Numerical Investigation on the Damping Property in Power System Transient Behavior,HD Chiang,2,100.00%,100.00%
Characterization of Stability Region for General Autonomous Nonlinear Dynamical Systems,Characterization of stability region for general autonomous nonlinear dynamical systems,LFC Alberto HD Chiang,15,30.00%,30.00%
APPLYING BIFURCATION ANALYSIS TO DETERMINE OPTIMAL PLACEMENTS OF MEASUREMENT DEVICES FOR POWER SYSTEM LOAD MODELING,Applying bifurcation analysis to determine optimal placements of measurement devices for power system load modeling,Y Li HD Chiang,2,0.00%,0.00%
Improving Service Restoration of Power Distribution Systems Through Load Curtailment of In-Service Customers,Improving service restoration of power distribution systems through load curtailment of in-service customers,HD Chiang,69,23.08%,23.08%
ELITE: Ensemble of Optimal Input-Pruned Neural Networks Using TRUST-TECH,ELITE: Ensemble of optimal input-pruned neural networks using TRUST-TECH,HD Chiang,20,44.44%,44.44%
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,Local bifurcation boundary and steady-state security boundary in large electric power systems: Numerical studies,HD Chiang,3,35.71%,35.71%
Weighted Multiple Predictor-corrector Interior Point Method for Optimal Power Flow,Weighted multiple predictor-corrector interior point method for optimal power flow,HD Chiang,6,20.00%,20.00%
Toward the development of a Trust-Tech-based methodology for solving mixed integer nonlinear optimization,Toward the development of a Trust-Tech-based methodology for solving mixed integer nonlinear optimization,HD Chiang,0,100.00%,100.00%
Fast Newton-FGMRES Solver for Large-Scale Power Flow Study,Fast Newton-FGMRES solver for large-scale power flow study,HD Chiang,46,37.50%,37.50%
A Novel Solution Methodology for Solving Large-scale Thermal Unit Commitment Problems,A novel solution methodology for solving large-scale thermal unit commitment problems,HD Chiang,9,18.18%,18.18%
Power-current hybrid rectangular formulation for interior-point optimal power flow,Power–current hybrid rectangular formulation for interior-point optimal power flow,HD Chiang,28,88.89%,88.89%
Multiple Solutions and Plateau Phenomenon in Measurement-Based Load Model Development: Issues and Suggestions,Multiple solutions and plateau phenomenon in measurement-based load model development: Issues and suggestions,HD Chiang,25,38.46%,38.46%
Sequential feasible optimal power flow: theoretical basis and numerical implementation,Sequential feasible optimal power flow: theoretical basis and numerical implementation,HD Chiang,0,100.00%,100.00%
Design and Implementation of on‐line dynamic security assessment,Design and Implementation of on‐line dynamic security assessment,HD Chiang,9,100.00%,100.00%
A new model of phase shifter for its efficient integration in interior point optimal power flow,A new model of phase shifter for its efficient integration in interior point optimal power flow,,2,100.00%,100.00%
Continuation Power Flow With Nonlinear Power Injection Variations: A Piecewise Linear Approximation,Continuation power flow with nonlinear power injection variations: a piecewise linear approximation,HD Chiang,28,8.33%,8.33%
TRUST-TECH-based expectation maximization for learning finite mixture models.,Trust-tech-based expectation maximization for learning finite mixture models,CK Reddy HD Chiang,55,75.00%,75.00%
Nonlinear predictors and hybrid corrector for fast continuation power flow,Nonlinear predictors and hybrid corrector for fast continuation power flow,HD Chiang,42,100.00%,100.00%
Discontinuous Dynamics of Electric Power System With DC Transmission: A Study on DAE System,Discontinuous dynamics of electric power system with DC transmission: A study on DAE system,Y Susuki T Hikihara HD Chiang,9,42.86%,42.86%
Load models for modeling dynamic behaviors of reactive loads: Evaluation and comparison,Load models for modeling dynamic behaviors of reactive loads: Evaluation and comparison,HD Chiang,27,100.00%,100.00%
Structure-Induced bifurcation in Large-Scale Electric Power Systems.,Structure-induced bifurcation in large-scale electric power systems,HD Chiang,8,28.57%,28.57%
Representative static load models for transient stability analysis: development and examination,Representative static load models for transient stability analysis: development and examination,HD Chiang,47,100.00%,100.00%
Uniform Approach for Stability Analysis of Fast Subsystem of Two-Time Scale Nonlinear Systems.,Uniform approach for stability analysis of fast subsystem of two-time scale nonlinear systems,LISFC Alberto HD Chiang,14,30.77%,30.77%
A stability boundary based method for finding saddle points on potential energy surfaces.,A stability boundary based method for finding saddle points on potential energy surfaces,CK Reddy HD Chiang,15,92.31%,92.31%
Refining motifs by improving information content scores using neighborhood profile search.,Refining motifs by improving information content scores using neighborhood profile search,CK Reddy,17,90.91%,90.91%
Constructing Analytical Energy Functions for Network-Preserving Power System Models,Constructing analytical energy functions for network-preserving power system models,CC Chu HD Chiang,21,22.22%,22.22%
Bidding price analysis for competitive generators and large consumers,Bidding price analysis for competitive generators and large consumers,H Chiang,9,100.00%,100.00%
Stability boundaries analysis of electric power system with DC transmission based on differential-algebraic equation system,Stability boundaries analysis of electric power system with dc transmission based on differential-algebraic equation system,Y Susuki T Hikihara HD Chiang,12,93.33%,93.33%
"""A singular fixed-point homotopy method to locate the closest unstable equilibrium point for transient stability region estimate",A singular fixed-point homotopy method to locate the closest unstable equilibrium point for transient stability region estimate,J Lee HD Chiang,31,94.12%,94.12%
"Jaewook Lee, Hsiao-Dong Chiang""",A dynamical trajectory-based methodology for systematically computing multiple optimal solutions of general nonlinear programming problems,J Lee HD Chiang,58,0.00%,0.00%
Enhanced look-ahead load margin estimation for voltage security assessment,Enhanced look-ahead load margin estimation for voltage security assessment,HD Chiang,28,100.00%,100.00%
Theoretical foundation of the controlling UEP method for direct transient-stability analysis of network-preserving power system models,Theoretical foundation of the controlling UEP method for direct transient-stability analysis of network-preserving power system models,HD Chiang,64,100.00%,100.00%
A novel system for automatic generation of service reliability reports from automated mapping and facility management (AM/FM) systems,A novel system for automatic generation of service reliability reports from automated mapping and facility management (AM/FM) systems,,3,100.00%,100.00%
A Heuristic Meter Placement Method for Load Estimation,A heuristic meter placement method for load estimation,,18,25.00%,25.00%
Theory of stability regions for a class of nonhyperbolic dynamical systems and its application to constraint satisfaction problems,Theory of stability regions for a class of nonhyperbolic dynamical systems and its application to constraint satisfaction problems,J Lee HD Chiang,19,100.00%,100.00%
Constructive homotopy methods for finding all or multiple DC operating points of nonlinear circuits and systems,Constructive homotopy methods for finding all or multiple DC operating points of nonlinear circuits and systems,J Lee HD Chiang,39,100.00%,100.00%
Applying network window schema and a simulated annealing technique to optimal VAR planning in large-scale power systems,Applying network window schema and a simulated annealing technique to optimal VAR planning in large-scale power systems,HD Chiang,23,100.00%,100.00%
"Capacitor placement and real time control in large-scale unbalanced distribution systems: loss reduction formula, problem formulation, solution methodology and mathematical justification","Capacitor placement and real time control in large-scale unbalanced distribution systems: loss reduction formula, problem formulation, solution methodology and …",HD Chiang,91,85.71%,100.00%
Capacitor placement and real time control in large-scale unbalanced distribution systems: numerical studies,Capacitor placement and real time control in large-scale unbalanced distribution systems: Numerical studies,HD Chiang,25,92.31%,92.31%
Quasi-stability regions of nonlinear dynamical systems: optimal estimations,Quasi-stability regions of nonlinear dynamical systems: optimal estimations,HD Chiang,34,100.00%,100.00%
Quasi-stability regions of nonlinear dynamical systems: theory,Quasi-stability regions of nonlinear dynamical systems: Theory,HD Chiang,52,85.71%,85.71%
Fast distribution power flow using multi-processors,Fast distribution power flow using multi-processors,Y Fukuyama HD Chiang,19,100.00%,100.00%
A systematic search method for obtaining multiple local optimal solutions of nonlinear programming problems,A systematic search method for obtaining multiple local optimal solutions of nonlinear programming problems,HD Chiang CC Chu,74,100.00%,100.00%
An efficient algorithm for real-time network reconfiguration in large scale unbalanced distribution systems,An efficient algorithm for real-time network reconfiguration in large scale unbalanced distribution systems,HD Chiang,124,100.00%,100.00%
Parallel genetic algorithm for service restoration in electric power distribution systems,A parallel genetic algorithm for service restoration in electric power distribution systems,Y Fukuyama HD Chiang,151,90.91%,83.33%
Identification of synchronous generator saturation models based on on-line digital measurements,Identification of synchronous generator saturation models based on on-line digital measurements,JC Wang HD Chiang YT Chen,7,100.00%,100.00%
Theoretical foundation of the BCU method for direct stability analysis of network-reduction power system. Models with small transfer conductances,Theoretical foundation of the BCU method for direct stability analysis of network-reduction power system. Models with small transfer conductances,HD Chiang,89,100.00%,100.00%
Toward a practical performance index for predicting voltage collapse in electric power systems,Toward a practical performance index for predicting voltage collapse in electric power systems,HD Chiang,101,100.00%,100.00%
A more efficient formulation for computation of the maximum loading points in electric power systems,A more efficient formulation for computation of the maximum loading points in electric power systems,HD Chiang,73,100.00%,100.00%
CPFLOW: a practical tool for tracing power system steady-state stationary behavior due to load and generation variations,CPFLOW: A practical tool for tracing power system steady-state stationary behavior due to load and generation variations,HD Chiang AJ Flueck,713,94.12%,94.12%
"Optimal capacitor placement, replacement and control in large-scale unbalanced distribution systems: modeling and a new formulation","Optimal capacitor placement, replacement and control in large-scale unbalanced distribution systems: modeling and a new formulation",HD Chiang,96,100.00%,100.00%
"Optimal capacitor placement, replacement and control in large-scale unbalanced distribution systems: System modeling and a new formulation","Optimal capacitor placement, replacement and control in large-scale unbalanced distribution systems: system modeling and a new formulation",HD Chiang,8,94.12%,94.12%
The BCU method for direct stability analysis of electric power systems: theory and applications,The BCU method for direct stability analysis of electric power systems: Theory and applications,HD Chiang,26,92.86%,92.86%
A BCU method for direct analysis of power system transient stability,A BCU method for direct analysis of power system transient stability,HD Chiang PP Varaiya,320,100.00%,100.00%
